element,result
1,-0.08841079473495483
2,-0.501387894153595
3,-0.7614177465438843
4,-0.3047795295715332
5,-3.7550840377807617
6,0.07220402359962463
7,-2.1230666637420654
8,1.789095163345337
9,-1.033501148223877
10,1.6258001327514648
11,-1.2222275733947754
12,-3.088231086730957
13,-2.622091770172119
14,-3.255056619644165
15,-2.54654598236084
16,-1.1903077363967896
17,-3.992656946182251
18,-1.0166525840759277
19,1.394390344619751
20,1.3044060468673706
21,-0.8073374629020691
22,-0.4608810544013977
23,-1.9619779586791992
24,0.952056348323822
25,2.7737040519714355
26,-1.15700364112854
27,-1.6229932308197021
28,5.206261157989502
29,-1.4944273233413696
30,1.3913594484329224
31,3.6406476497650146
32,2.2676820755004883
33,1.3254354000091553
34,-2.818864107131958
35,-3.71508526802063
36,1.8693727254867554
37,0.9165727496147156
38,-1.2856965065002441
39,-0.29786068201065063
40,2.057651996612549
41,-1.2274501323699951
42,-1.7428284883499146
43,1.2380038499832153
44,-1.9353983402252197
45,3.7537617683410645
46,1.5442440509796143
47,-1.929561972618103
48,1.5838088989257812
49,-0.5372899174690247
50,0.4267140030860901
