element,result
1,0E-16
2,0E-16
3,0E-16
4,0E-16
5,0E-16
6,0E-16
7,0E-16
8,0E-16
9,0E-16
10,0E-16
11,0E-16
12,0E-16
13,0E-16
14,0E-16
15,0E-16
16,0E-16
17,0E-16
18,0E-16
19,0E-16
20,0E-16
21,0E-16
22,0E-16
23,0E-16
24,0E-16
25,0E-16
26,0E-16
27,0E-16
28,0E-16
29,0E-16
30,0E-16
31,0E-16
32,0E-16
33,0E-16
34,0E-16
35,0E-16
36,0E-16
37,0E-16
38,0E-16
39,0E-16
40,0E-16
41,0E-16
42,0E-16
43,0E-16
44,0E-16
45,0E-16
46,0E-16
47,0E-16
48,0E-16
49,0E-16
50,0E-16
51,0E-16
52,0E-16
53,0E-16
54,0E-16
55,0E-16
56,0E-16
57,0E-16
58,0E-16
59,0E-16
60,0E-16
61,0E-16
62,0E-16
63,0E-16
64,0E-16
65,0E-16
66,0E-16
67,0E-16
68,0E-16
69,0E-16
70,0E-16
71,0E-16
72,0E-16
73,0E-16
74,0E-16
75,0E-16
76,0E-16
77,0E-16
78,0E-16
79,0E-16
80,0E-16
81,0E-16
82,0E-16
83,0E-16
84,0E-16
85,0E-16
86,0E-16
87,0E-16
88,0E-16
89,0E-16
90,0E-16
91,0E-16
92,0E-16
93,0E-16
94,0E-16
95,0E-16
96,0E-16
97,0E-16
98,0E-16
99,0E-16
100,0E-16
