element,result
1,-5.440092820663267E-15
2,-6.411537967210279E-15
3,2.9976021664879227E-15
4,-4.163336342344337E-15
5,6.00908212078366E-15
6,-5.88418203051333E-15
7,-2.886579864025407E-15
8,-2.3314683517128287E-15
9,1.9984014443252818E-15
10,-1.5765166949677223E-14
11,4.6629367034256575E-15
12,2.4202861936828413E-14
13,1.3683498778505054E-14
14,2.6867397195928788E-14
15,2.4091839634365897E-14
16,-9.325873406851315E-15
17,9.603429163007604E-15
18,2.0816681711721685E-15
19,1.3322676295501878E-15
20,-6.661338147750939E-15
21,-2.453592884421596E-14
22,2.3869795029440866E-14
23,-1.176836406102666E-14
24,3.649858193455202E-15
25,3.9968028886505635E-15
26,-1.176836406102666E-14
27,1.3322676295501878E-15
28,-5.440092820663267E-15
29,-1.0436096431476471E-14
30,-6.106226635438361E-15
31,6.328271240363392E-15
32,-5.440092820663267E-15
33,-1.1102230246251565E-14
34,1.1981735048571807E-14
35,-1.3322676295501878E-14
36,-1.7430501486614958E-14
37,-4.6074255521944E-15
38,-1.2878587085651816E-14
39,-2.6728619317850644E-14
40,-6.661338147750939E-15
41,2.5757174171303632E-14
42,-5.440092820663267E-15
43,-1.5765166949677223E-14
44,6.494804694057166E-15
45,-1.4210854715202004E-14
46,-1.6986412276764895E-14
47,-8.992806499463768E-15
48,6.661338147750939E-16
49,-8.659739592076221E-15
50,-1.587618925213974E-14
51,-7.549516567451064E-15
52,-2.8102520310824275E-14
53,-1.199040866595169E-14
54,1.569577801063815E-14
55,-1.2434497875801753E-14
56,1.099120794378905E-14
57,-3.3306690738754696E-15
58,-8.770761894538737E-15
59,1.0103029524088925E-14
60,-1.354472090042691E-14
61,-3.608224830031759E-15
62,-2.914335439641036E-15
63,-1.609823385706477E-14
64,-1.8207657603852567E-14
65,1.8762769116165146E-14
66,6.217248937900877E-15
67,5.995204332975845E-15
68,1.4988010832439613E-15
69,2.0539125955565396E-14
70,1.2156942119645464E-14
71,1.6431300764452317E-14
72,4.3298697960381105E-15
73,3.1086244689504383E-15
74,8.770761894538737E-15
75,1.3378187446733136E-14
76,-1.4765966227514582E-14
77,2.886579864025407E-15
78,4.829470157119431E-15
79,1.84297022087776E-14
80,-2.1094237467877974E-15
81,-1.0436096431476471E-14
82,-1.482147737874584E-14
83,-3.608224830031759E-16
84,9.769962616701378E-15
85,-2.2037927038809357E-14
86,-1.0408340855860843E-14
87,1.765254609153999E-14
88,-2.2870594307278225E-14
89,4.551914400963142E-15
90,-2.220446049250313E-15
91,-3.6637359812630166E-15
92,-1.2323475573339238E-14
93,-1.5376588891058418E-14
94,3.1086244689504383E-15
95,4.440892098500626E-16
96,6.661338147750939E-16
97,2.936539900133539E-14
98,2.1094237467877974E-14
99,5.773159728050814E-15
100,5.800915303666443E-15
101,1.7541523789077473E-14
102,6.217248937900877E-15
103,-6.8833827526759706E-15
104,-1.3905543383430086E-14
105,7.771561172376096E-16
106,9.325873406851315E-15
107,2.914335439641036E-16
108,-1.0436096431476471E-14
109,-1.2212453270876722E-14
110,3.8191672047105385E-14
111,6.106226635438361E-15
112,-1.2656542480726785E-14
113,3.774758283725532E-15
114,1.0380585280245214E-14
115,2.1094237467877974E-14
116,-9.298117831235686E-15
117,-1.6930901125533637E-14
118,1.8041124150158794E-15
119,-1.1352030426792226E-14
120,-1.354472090042691E-14
121,-3.4416913763379853E-15
122,-1.4710455076283324E-14
123,3.247402347028583E-14
124,1.27675647831893E-15
125,-3.774758283725532E-15
126,2.6645352591003757E-15
127,-8.43769498715119E-15
128,1.912359159916832E-14
129,-2.5979218776228663E-14
130,-1.1657341758564144E-15
131,3.885780586188048E-15
132,1.0103029524088925E-14
133,-5.495603971894525E-15
134,-2.8754776337791554E-14
135,2.220446049250313E-16
136,-1.7763568394002505E-14
137,8.326672684688674E-16
138,-5.551115123125783E-16
139,-1.7430501486614958E-14
140,-1.021405182655144E-14
141,-1.2656542480726785E-14
142,8.43769498715119E-15
143,-3.885780586188048E-15
144,3.0253577421035516E-14
145,-4.04121180963557E-14
146,2.1760371282653068E-14
147,-1.1962653090336062E-14
148,-2.453592884421596E-14
149,6.661338147750939E-16
150,5.273559366969494E-16
151,-7.549516567451064E-15
152,4.107825191113079E-15
153,3.774758283725532E-15
154,-1.63202784619898E-14
155,1.1546319456101628E-14
156,7.965850201685498E-15
157,-2.220446049250313E-15
158,3.635980405647388E-15
159,5.9674487573602164E-15
160,-1.1102230246251565E-15
161,4.218847493575595E-15
162,1.3211653993039363E-14
163,-2.3314683517128287E-15
164,-4.385380947269368E-15
165,5.551115123125783E-15
166,-1.4710455076283324E-15
167,8.43769498715119E-15
168,5.88418203051333E-15
169,-4.773959005888173E-15
170,9.159339953157541E-15
171,1.0019762797242038E-14
172,2.886579864025407E-15
173,-3.4416913763379853E-15
174,1.9234613901630837E-14
175,-3.885780586188048E-15
176,1.1879386363489175E-14
177,-1.7430501486614958E-14
178,6.161737786669619E-15
179,7.771561172376096E-16
180,-9.547918011776346E-15
181,-1.176836406102666E-14
182,-1.2628786905111156E-14
183,-1.3600232051658168E-14
184,-3.1308289294429414E-14
185,4.440892098500626E-16
186,-9.159339953157541E-15
187,3.608224830031759E-15
188,-2.1538326677728037E-14
189,5.495603971894525E-15
190,-2.3314683517128287E-15
191,3.4416913763379853E-15
192,-2.220446049250313E-15
193,-3.3306690738754696E-15
194,1.2212453270876722E-14
195,3.219646771412954E-15
196,5.551115123125783E-17
197,2.7755575615628914E-15
198,5.662137425588298E-15
199,2.3314683517128287E-14
200,8.104628079763643E-15
