element,result
1,-5.551115123125783E-16
2,1.3322676295501878E-15
3,1.1102230246251565E-16
4,1.2212453270876722E-15
5,1.4432899320127035E-15
6,2.7200464103316335E-15
7,-3.3861802251067274E-15
8,-3.1086244689504383E-15
9,3.3306690738754696E-16
10,1.2989609388114332E-14
11,-3.885780586188048E-15
12,-4.440892098500626E-16
13,1.2656542480726785E-14
14,2.3314683517128287E-15
15,-9.43689570931383E-15
16,3.219646771412954E-15
17,-2.3869795029440866E-14
18,1.7985612998927536E-14
19,-4.1744385725905886E-14
20,2.7755575615628914E-15
21,-2.808864252301646E-14
22,-2.475797344914099E-14
23,-7.993605777301127E-15
24,-5.773159728050814E-15
25,-9.992007221626409E-16
26,-8.681944052568724E-14
27,-5.662137425588298E-15
28,2.1871393585115584E-14
29,5.717648576819556E-15
30,2.9753977059954195E-14
31,3.597122599785507E-14
32,1.4310774787418268E-13
33,-1.1224354778960333E-13
34,7.926992395823618E-14
35,-1.2012613126444194E-13
36,-8.870681966755001E-14
37,-7.993605777301127E-15
38,1.5876189252139739E-13
39,7.527312106958561E-14
40,-1.965094753586527E-13
41,1.8762769116165146E-14
42,-2.5979218776228663E-14
43,-4.030109579389318E-14
44,-2.353672812205332E-14
45,2.353672812205332E-13
46,4.773959005888173E-14
47,8.872069745535782E-14
48,8.970602038971265E-14
49,-1.709743457922741E-13
50,7.183142969324763E-14
