element,result
1,-2.4424906541753444E-15
2,7.771561172376096E-16
3,1.4432899320127035E-15
4,2.3203661214665772E-14
5,3.316791286067655E-15
6,-1.1546319456101628E-14
7,9.547918011776346E-15
8,1.27675647831893E-14
9,-1.6653345369377348E-15
10,-2.4980018054066022E-14
11,1.4099832412739488E-14
12,-1.199040866595169E-14
13,2.500777362968165E-14
14,-1.1157741397482823E-14
15,4.551914400963142E-15
16,2.7755575615628914E-15
17,4.996003610813204E-16
18,5.445643935786393E-14
19,4.807265696626928E-14
20,9.880984919163893E-15
21,-4.440892098500626E-15
22,-1.2212453270876722E-14
23,1.8540724511240114E-14
24,-7.771561172376096E-16
25,-1.554312234475219E-14
26,-4.440892098500626E-16
27,-5.329070518200751E-15
28,7.93809462606987E-15
29,1.3655743202889425E-14
30,-1.887379141862766E-15
31,2.886579864025407E-15
32,5.440092820663267E-15
33,2.0317081350640365E-14
34,-1.168683205765575E-14
35,-1.3877787807814457E-14
36,1.1102230246251565E-16
37,-6.994405055138486E-15
38,-3.3306690738754696E-16
39,-3.4139358007223564E-15
40,-1.4432899320127035E-15
41,-3.1086244689504383E-15
42,1.3211653993039363E-14
43,2.4868995751603507E-14
44,5.662137425588298E-15
45,-1.554312234475219E-14
46,4.107825191113079E-14
47,-1.7763568394002505E-15
48,2.4313884239290928E-14
49,3.697042672001771E-14
50,1.1435297153639112E-14
51,9.547918011776346E-15
52,3.4416913763379853E-15
53,-3.452793606584237E-14
54,-9.020562075079397E-16
55,-1.9984014443252818E-14
56,1.5654144647214707E-14
57,1.021405182655144E-14
58,-1.6209256159527285E-14
59,-1.7208456881689926E-14
60,-8.992806499463768E-15
61,-9.880984919163893E-15
62,3.219646771412954E-15
63,4.551914400963142E-15
64,-8.43769498715119E-15
65,2.19824158875781E-14
66,-7.66053886991358E-15
67,-1.5182299861749016E-14
68,1.7708057242771247E-14
69,-3.5416114485542494E-14
70,2.3425705819590803E-14
71,-4.107825191113079E-14
72,-1.2989609388114332E-14
73,-2.886579864025407E-15
74,4.440892098500626E-16
75,1.5376588891058418E-14
76,3.3306690738754696E-15
77,7.327471962526033E-15
78,-1.1657341758564144E-14
79,6.5503158452884236E-15
80,-3.3306690738754696E-15
81,-5.2735593669694936E-15
82,5.773159728050814E-15
83,1.251776460264864E-14
84,-1.354472090042691E-14
85,-3.169686735304822E-14
86,-6.689093723366568E-15
87,1.4432899320127035E-14
88,-3.0531133177191805E-14
89,-1.7208456881689926E-15
90,-7.105427357601002E-15
91,-1.3322676295501878E-15
92,-7.438494264988549E-15
93,-7.771561172376096E-16
94,4.440892098500626E-15
95,2.864375403532904E-14
96,-2.220446049250313E-16
97,2.4313884239290928E-14
98,2.556288514199423E-14
99,4.463096558993129E-14
100,1.099120794378905E-14
101,-5.856426454897701E-15
102,-5.773159728050814E-15
103,2.3314683517128287E-15
104,6.716849298982197E-15
105,8.881784197001252E-16
106,-2.220446049250313E-16
107,1.4530043834781736E-14
108,2.453592884421596E-14
109,-6.661338147750939E-16
110,-1.942890293094024E-15
111,7.882583474838611E-15
112,-8.104628079763643E-15
113,3.26405569239796E-14
114,-2.858824288409778E-15
115,-3.219646771412954E-15
116,-2.731148640577885E-14
117,3.552713678800501E-15
118,1.659783421814609E-14
119,3.6637359812630166E-15
120,-1.8207657603852567E-14
121,-1.6986412276764895E-14
122,-8.104628079763643E-15
123,-1.6264767310758543E-14
124,5.717648576819556E-15
125,-1.554312234475219E-14
126,9.2148511043888E-15
127,2.3370194668359545E-14
128,5.9119376061289586E-15
129,-4.9960036108132044E-15
130,1.942890293094024E-15
131,-7.327471962526033E-15
132,-1.176836406102666E-14
133,2.2593038551121936E-14
134,-1.609823385706477E-14
135,-2.7422508708241367E-14
136,-1.0325074129013956E-14
137,1.5265566588595902E-14
138,-6.189493362285248E-15
139,5.5067062021407764E-14
140,1.8762769116165146E-14
141,2.986499936241671E-14
142,2.120525977034049E-14
143,-1.1546319456101628E-14
144,-4.440892098500626E-15
145,2.1094237467877974E-15
146,2.220446049250313E-16
147,4.524158825347513E-15
148,-4.440892098500626E-16
149,1.0047518372857667E-14
150,1.97758476261356E-14
151,9.880984919163893E-15
152,1.0158540675320182E-14
153,-3.3861802251067274E-15
154,6.217248937900877E-15
155,5.551115123125783E-15
156,5.420663917732327E-14
157,-2.708944180085382E-14
158,4.6074255521944E-15
159,3.294586825575152E-14
160,-1.2545520178264269E-14
161,6.8833827526759706E-15
162,-4.007905118896815E-14
163,-1.1102230246251565E-15
164,1.867950238931826E-14
165,-2.220446049250313E-16
166,5.3013149425851225E-15
167,-1.0658141036401503E-14
168,-1.0380585280245214E-14
169,2.7644553313166398E-14
170,5.2735593669694936E-15
171,7.077671781985373E-15
172,-7.549516567451064E-15
173,-2.7200464103316335E-15
174,-5.6066262743570405E-15
175,-5.329070518200751E-15
176,-3.11972669919669E-14
177,2.7200464103316335E-14
178,1.0047518372857667E-14
179,9.103828801926284E-15
180,-1.7430501486614958E-14
181,6.217248937900877E-15
182,5.773159728050814E-15
183,1.7708057242771247E-14
184,-1.532107773982716E-14
185,-2.4980018054066022E-14
186,1.2045919817182948E-14
187,-2.6978419498391304E-14
188,-1.4432899320127035E-15
189,-2.1094237467877974E-15
190,6.106226635438361E-15
191,1.3988810110276972E-14
192,1.2212453270876722E-15
193,2.3869795029440866E-15
194,-4.440892098500626E-16
195,-9.325873406851315E-15
196,-3.289035710452026E-14
197,1.5543122344752192E-15
198,-2.098321516541546E-14
199,2.9976021664879227E-15
200,7.549516567451064E-15
