element,result
1,0E-16
2,0E-16
3,0E-16
4,0E-16
5,0E-16
6,0E-16
7,0E-16
8,0E-16
9,0E-16
10,0E-16
11,0E-16
12,0E-16
13,0E-16
14,0E-16
15,0E-16
16,0E-16
17,0E-16
18,0E-16
19,0E-16
20,0E-16
21,0E-16
22,0E-16
23,0E-16
24,0E-16
25,0E-16
26,0E-16
27,0E-16
28,0E-16
29,0E-16
30,0E-16
31,0E-16
32,0E-16
33,0E-16
34,0E-16
35,0E-16
36,0E-16
37,0E-16
38,0E-16
39,0E-16
40,0E-16
41,0E-16
42,0E-16
43,0E-16
44,0E-16
45,0E-16
46,0E-16
47,0E-16
48,0E-16
49,0E-16
50,0E-16
51,0E-16
52,0E-16
53,0E-16
54,0E-16
55,0E-16
56,0E-16
57,0E-16
58,0E-16
59,0E-16
60,0E-16
61,0E-16
62,0E-16
63,0E-16
64,0E-16
65,0E-16
66,0E-16
67,0E-16
68,0E-16
69,0E-16
70,0E-16
71,0E-16
72,0E-16
73,0E-16
74,0E-16
75,0E-16
76,0E-16
77,0E-16
78,0E-16
79,0E-16
80,0E-16
81,0E-16
82,0E-16
83,0E-16
84,0E-16
85,0E-16
86,0E-16
87,0E-16
88,0E-16
89,0E-16
90,0E-16
91,0E-16
92,0E-16
93,0E-16
94,0E-16
95,0E-16
96,0E-16
97,0E-16
98,0E-16
99,0E-16
100,0E-16
101,0E-16
102,0E-16
103,0E-16
104,0E-16
105,0E-16
106,0E-16
107,0E-16
108,0E-16
109,0E-16
110,0E-16
111,0E-16
112,0E-16
113,0E-16
114,0E-16
115,0E-16
116,0E-16
117,0E-16
118,0E-16
119,0E-16
120,0E-16
121,0E-16
122,0E-16
123,0E-16
124,0E-16
125,0E-16
126,0E-16
127,0E-16
128,0E-16
129,0E-16
130,0E-16
131,0E-16
132,0E-16
133,0E-16
134,0E-16
135,0E-16
136,0E-16
137,0E-16
138,0E-16
139,0E-16
140,0E-16
141,0E-16
142,0E-16
143,0E-16
144,0E-16
145,0E-16
146,0E-16
147,0E-16
148,0E-16
149,0E-16
150,0E-16
151,0E-16
152,0E-16
153,0E-16
154,0E-16
155,0E-16
156,0E-16
157,0E-16
158,0E-16
159,0E-16
160,0E-16
161,0E-16
162,0E-16
163,0E-16
164,0E-16
165,0E-16
166,0E-16
167,0E-16
168,0E-16
169,0E-16
170,0E-16
171,0E-16
172,0E-16
173,0E-16
174,0E-16
175,0E-16
176,0E-16
177,0E-16
178,0E-16
179,0E-16
180,0E-16
181,0E-16
182,0E-16
183,0E-16
184,0E-16
185,0E-16
186,0E-16
187,0E-16
188,0E-16
189,0E-16
190,0E-16
191,0E-16
192,0E-16
193,0E-16
194,0E-16
195,0E-16
196,0E-16
197,0E-16
198,0E-16
199,0E-16
200,0E-16
201,0E-16
202,0E-16
203,0E-16
204,0E-16
205,0E-16
206,0E-16
207,0E-16
208,0E-16
209,0E-16
210,0E-16
211,0E-16
212,0E-16
213,0E-16
214,0E-16
215,0E-16
216,0E-16
217,0E-16
218,0E-16
219,0E-16
220,0E-16
221,0E-16
222,0E-16
223,0E-16
224,0E-16
225,0E-16
226,0E-16
227,0E-16
228,0E-16
229,0E-16
230,0E-16
231,0E-16
232,0E-16
233,0E-16
234,0E-16
235,0E-16
236,0E-16
237,0E-16
238,0E-16
239,0E-16
240,0E-16
241,0E-16
242,0E-16
243,0E-16
244,0E-16
245,0E-16
246,0E-16
247,0E-16
248,0E-16
249,0E-16
250,0E-16
